beta,model_key,model_label,qH,qH_ratio,Q80,Q80_pred,R_Q1000,R_Q10000,fit_tv_to_pstar,fit_kl_pstar_to_q,fit_js_dist_to_pstar,fit_prob_mse_to_pstar,holdout_size,p_star_holdout,sigma,K,seed,train_m
0.6,iqp_parity_mse,IQP (parity),0.041481746243027154,3.539775679404984,1256.0,465.58442443718604,0.7594053956538603,0.9723682502885292,0.3885120135314306,0.5901130936105272,0.3461907039369205,3.872637510605599e-06,12.0,0.08461732248690648,2.0,128.0,46.0,500.0
0.6,iqp_prob_mse,IQP (prob-MSE),0.019207093590843376,1.639005319751968,2775.0,1005.527195349141,0.6288383231280052,0.9098624299702983,0.49735063912670086,1.1648021322893047,0.43466715351861934,6.300258190379492e-06,12.0,0.08461732248690648,2.0,128.0,46.0,500.0
0.6,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.01893900583934317,1.6161284982906172,2009.0,1019.7607579321077,0.6132002152010463,0.996330047893122,0.5719800942616425,1.0815841859658455,0.5270187198658934,5.293616355440444e-06,12.0,0.08461732248690648,2.0,128.0,46.0,500.0
0.6,classical_dense_fields_xent,Dense Ising+fields (xent),0.0246895442431258,2.106841108746735,1336.0,782.2442876638562,0.7249767465802747,0.9990604900027336,0.5305204949786002,0.8653653767233385,0.4946687307753569,4.4141583542940775e-06,12.0,0.08461732248690648,2.0,128.0,46.0,500.0
0.6,classical_transformer_mle,AR Transformer (MLE),0.01841355957779736,1.5712904173053748,1156.0,1048.8604806480043,0.7554170971031545,0.9999797919047476,0.5056245213323578,0.8067681364892306,0.4808411904898669,4.34391196418903e-06,12.0,0.08461732248690648,2.0,128.0,46.0,500.0
0.6,classical_maxent_parity,"MaxEnt parity (P,z)",0.02559013177997424,2.1836912452244683,1174.0,754.7149469672893,0.7568435475461035,0.9998344411607639,0.5268910816816486,0.8480130991810589,0.4921912591689413,4.33020857852484e-06,12.0,0.08461732248690648,2.0,128.0,46.0,500.0
0.8,iqp_parity_mse,IQP (parity),0.0809664821919286,6.909139813711241,682.0,238.53395165949925,0.852419201077954,0.9861000599868052,0.4602259188881457,0.8309408007792083,0.4084195579797351,1.4206040298699186e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
0.8,iqp_prob_mse,IQP (prob-MSE),0.02492834038664218,2.1272183796601327,2093.0,774.7509320579635,0.6662665110786808,0.9570387494233333,0.5997535379627648,1.6703677682401854,0.5130988719233875,1.845784437669682e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
0.8,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.022012945255738044,1.878437995156313,1829.0,877.3589687720173,0.6883710259405568,0.9707297219516885,0.6404687838432999,1.5522628730939,0.5745015478227651,1.711283455040682e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
0.8,classical_dense_fields_xent,Dense Ising+fields (xent),0.03525964019817645,3.0088226302443903,679.0,547.7439599683731,0.8849220429798587,0.9999874883255173,0.5495249932995812,1.1449723535263807,0.5256523579454709,1.5666701206622256e-05,12.0,0.30295121832687966,2.0,128.0,46.0,500.0
